device,qdisc,mbs
asus-cn60-2,cake20,865
asus-cn60-2,cake40,866
asus-cn60-2,fq,762
asus-cn60-2,fq_codel,835
asus-cn60-2,noqueue,849
asus-cn60-2,pfifo_fast,846
jetson-nano,cake20,339
jetson-nano,cake40,344
jetson-nano,fq,417
jetson-nano,fq_codel,446
jetson-nano,noqueue,450
jetson-nano,pfifo_fast,451
lpi4a,cake20,85.4
lpi4a,cake40,29.8
lpi4a,fq,129
lpi4a,fq_codel,85.1
lpi4a,noqueue,85.9
lpi4a,pfifo_fast,126
nanopi-neo3,cake20,220
nanopi-neo3,cake40,213
nanopi-neo3,fq,355
nanopi-neo3,fq_codel,305
nanopi-neo3,noqueue,405
nanopi-neo3,pfifo_fast,292
nanopi-r1,cake20,185
nanopi-r1,cake40,248
nanopi-r1,fq,217
nanopi-r1,fq_codel,242
nanopi-r1,noqueue,336
nanopi-r1,pfifo_fast,246
nanopi-r2s,cake20,287
nanopi-r2s,cake40,276
nanopi-r2s,fq,350
nanopi-r2s,fq_codel,420
nanopi-r2s,noqueue,348
nanopi-r2s,pfifo_fast,
nanopi-r5c,cake20,478
nanopi-r5c,cake40,474
nanopi-r5c,fq,656
nanopi-r5c,fq_codel,723
nanopi-r5c,noqueue,719
nanopi-r5c,pfifo_fast,709
pi3b,cake20,83.0
pi3b,cake40,85.4
pi3b,fq,86.6
pi3b,fq_codel,87.1
pi3b,noqueue,86.7
pi3b,pfifo_fast,87.3
pi4,cake20,451
pi4,cake40,477
pi4,fq,499
pi4,fq_codel,613
pi4,noqueue,643
pi4,pfifo_fast,625
